code,libelle,type_officiel,region,adresse
060368,LES CIEUX OPTIQUE,CENTRE DE LUNETTERIE,GRAND LOMÉ,TOTSI EN FACE CAR WASH
060369,KNAL OPTIC,CENTRE DE LUNETTERIE,GRAND LOMÉ,"OKA JEAN MICHEL/ KONDO KOKO, BP 20311"
060371,CLINIQUE LE PRINTEMPS,CHU,GRAND LOMÉ,"TETTEGAN KANGNI A. AUT N°0036/2003, Bd DE LA KARA LOME"
060372,PHARMACIE SAINT PIERRE,PHARMACIE,GRAND LOMÉ,BIMIZI ABIDE AUT N°0090/2013/MS/CAB/DGS/DPLET 89 BD HAHO BP 30717
060373,CMS SOS LOME,HOPITAL DE DISTRICT,GRAND LOMÉ,"KOYENIN K ATCHA, AUT N°078/2014/MS/CAB/SG 112 RUE KWADJOI LOME BP 1394"
060374,CLINIQUE DENTAIRE NIFA,CHU,GRAND LOMÉ,AKOUVI A NOEL AUT N°0016/93/MSP BP 2122
060375,CMS DOUCEUR D'ORIENT,HOPITAL DE DISTRICT,GRAND LOMÉ,AGOE NYIVE CARREFOUR BLEU/ AUT N 096/2014/MS/CAB/DG/VIDRO ESSI
060376,CABINET DENTAIRE LE SOURIRE,CHU,GRAND LOMÉ,BE KPOTA
060377,PHARMACIE NOTRE DAME,PHARMACIE,GRAND LOMÉ,"Lomé, Hédzranawoé, derrièrHédzranawoé à coté de la maison du Hadj"
060378,CABINET RAVILIG,CHU,GRAND LOMÉ,LOME QTIER TOKOIN HOPITAL CONV LE 10 04 2015
060379,CLINIQUE LAENNEC,CHU,GRAND LOMÉ,AFLAO GAKLI QTIER KLIKAME 66 RUE 192 AFLAO GAKLI CONV LE 10 04 2015
060380,CLINIQUE NOTRE DAME DE LA MISERICORDE,CHU,GRAND LOMÉ,QTIER BE KPOTA RUE GARKA CONV LE 10 04 2015
060381,CLINIQUE BETHESDA,CHU,GRAND LOMÉ,LOME ADIDOADIN
060382,CLINIQUE BON PASTEUR,CHU,GRAND LOMÉ,QTIER BE KLIKAME LOME CONV LE 10 04 2015
060383,CMS VITA,HOPITAL DE DISTRICT,GRAND LOMÉ,"842, RUE SOGEA SATOM QTIER HOUNTIGOME LOME"
060384,CLINIQUE CHIRURGICALE DE LOME,CHU,GRAND LOMÉ,AGBALEPEDOGAN
060385,PHARMACIE DU TROISIEME ARRONDISSEMENT,PHARMACIE,GRAND LOMÉ,"AHO YAO JOEL219 BLD DU 13 JANVIER, QUARTIER ABOBOKOME"
060386,LUNETTERIE LEDI VISION,CENTRE DE LUNETTERIE,GRAND LOMÉ,"10 AVENUE SYLVANUS OLYMPIO, LOME"
060387,PHARMACIE DE LA VICTOIRE,PHARMACIE,GRAND LOMÉ,"Lomé, Avédji-Wessomé, non loin des rails Dr MOUKAILA Azia Rafatou, Docteur en Pharmacie, Titulaire et Responsable de la Pharmacie"
060388,CENTRE DE SANTE SAINT CAMILLE,HOPITAL DE DISTRICT,GRAND LOMÉ,"BE ADAKPAME - COLAS, A LA FIN DES PAVES D'ADAKPAME"
060389,CLINIQUE OPHTALMOLOGIQUE LUMIERE DIVINE (COLD),CHU,GRAND LOMÉ,"3269 AV. PYA, QUARTIER AFLAO-TOTSI, LOME (A 100m DU TOTAL TOTSI ROND POINT FACE A LA MOSQUEE)"
060390,CABINET MEDICAL DR ALI,CHU,GRAND LOMÉ,AVEDJI WESSOME
060391,PERFECT-LABO,CHU,GRAND LOMÉ,"TOKOIN GBADAGO DANS L'ANGLE BOULEVARD DES ARMEES ET LA RUE ALOMA, A CÔTE DU FOYER DES JEUNES MOKPOKPO"
060392,CMS GBETSOGBE,USP type II,GRAND LOMÉ,
060393,CENTRE DE SANTE MENTALE PAUL- LOUIS-RENEE,CHR,GRAND LOMÉ,"KEGUE-KELEGOUGAN SUR LE BOULEVARD DU HAHO NON LOIN DE ""AMERICAN INTERNATIONAL SCHOOL"""
060394,CABINET MEDICAL LA COMPASSION,CHU,GRAND LOMÉ,"TOKOIN-CASSABLANCA DERRIERE LA MICROFINANCE ""CECA"" EN ALLANT VERS LA FRONTIERE TOGO-GHANA, 95 RUE DES PASTEQUES"
060395,CENTRE MEDICO- SOCIAL BONNE SANTE,USP type II,GRAND LOMÉ,"AGBALEPEDO DEVANT LA GARE ROUTIERE, EN FACE DE L'HOTEL ENIKE"
060396,CLINIQUE LA BONTE,CHU,GRAND LOMÉ,"AGBALEPEDOGAN , COTE OUEST DE LA GARE ROUTIERE, DANS LE PROLONGEMENT DE LA STATION TOTAL, SUR LE MÊME ALIGNEMENT QUE PHARMACIE ENOULI Dr. BAH RABIOU Rassidatou, Médecin généraliste, Responsable et Titulaire de la clinique"
060397,CMS SAINTE MARIE MADELEINE (ONG ASI-TOGO),USP type II,GRAND LOMÉ,"BE-KLIKAME EN FACE DE L'EPP ADJOMAYI, TOUT JUSTE DERRIERE LA NOUVELLE EGLISE CATHOLIQUE DE LA PAROISSE DE BE-KLIKAME"
060399,Infirmerie de l'EDITOGO,USP type I,GRAND LOMÉ,"5, AVENUE MAMA FOUSSENI"
060400,PHARMACIE DIVINA GRACIA,PHARMACIE,GRAND LOMÉ,Dr EDORH Dèmessi Léaticia Ida AGOE LOGOPE
060401,CLINIQUE CONTINENTALE,CHU,GRAND LOMÉ,Dr DOSSA Komi AGOE CARREFOUR BLEU
060402,CABINET MEDICAL LE DIGEST,CHU,GRAND LOMÉ,Dr DIALLO Kanny Rayna Epse SOKPOH HEDZRANAWOE MANTIGOME
060403,PHARMACIE EL- SHAMMAH,PHARMACIE,GRAND LOMÉ,FELICITE AFORA-ASSIONGBON AMADAHOME
060404,PHARMACIE UNIVERS SANTE,PHARMACIE,GRAND LOMÉ,"Bld Eyadema, Cité OUA en face de l'entrée du CHU CAMPUS"
060405,CMS VIDOSA,USP type II,GRAND LOMÉ,KOHE
060406,CLINIQUE LA FAMILLE,CHU,GRAND LOMÉ,Dr KOLANI Malip Francis AGOE- NYVE
060407,CLINIQUE MEDICALE UNIDIAL,CHU,GRAND LOMÉ,TOKOIN HABITAT
060408,PHARMACIE TCHEP'SON,PHARMACIE,GRAND LOMÉ,M. TCHEPAN ALADJOU PHARMACIEN
060409,PHARMACIE APOU ANTOINE,PHARMACIE,GRAND LOMÉ,Dr TIGNOKPA Kouassi Martin Pharmacien
060410,CLINIQUE MARIE URIEL,CHU,GRAND LOMÉ,QUARTIER WONYOME VON DE L'EGLISE CELESTE DE YOKOE Dr OCLOO Ayaovi Avuletey
060411,FAFA CLINIQUE MEDICO- CHIRURGICALE,CHU,GRAND LOMÉ,"Dr GBETOGBE Komlan 127, rue AFLAO-GAKLI"
060412,Infirmerie de l'ANAC,USP type I,GRAND LOMÉ,
060413,CABINET MEDICAL BAYAL,CHU,GRAND LOMÉ,AGOE DEMAKPOE EN FACE DU CAMP FIR (Dr KAMKOTE Parou)
060414,CMS SALAM,USP type II,GRAND LOMÉ,M. MOUMOUNI Moutawakil AGOE FIDOKPUI
060415,PHARMACIE ARC-EN- CIEL,PHARMACIE,GRAND LOMÉ,Dr BADOMBENA-WANTA Dimiline Docteur en Pharmacie AGOE VAKPOSSITO
060416,LIGHT JOYCE VISION,CENTRE DE LUNETTERIE,GRAND LOMÉ,"YOVO AKOETE, Responsable, HEDZRANAWOE, 2ème von à droite après Phcie THERYA en allant de TOGO 2000 vers Kégué."
060417,CMS SHALOM,USP type II,GRAND LOMÉ,"Agoè Anokui, derrière l'église évangélique presbytérienne de Fiovi M. KOUNKE Yawo, Assistant médical, Responsable du centre"
060418,CMS JIREH,USP type I,GRAND LOMÉ,"Mme AGBEHONOU Essi, Directrice Kpogan, 500m de la nationale N° 2 Lomé-Aného"
060419,CLINIQUE SOEUR ANNE-MARIE ROUE,HOPITAL DE DISTRICT,GRAND LOMÉ,"Dr Moïse DEJEAN, MG, Directeur Djidjolé à côté de l'EPP Batomé"
060424,CENTRE DE SANTE MENTALE ST JEAN DE DIEU D'AGOE-NYIVE,CHU,GRAND LOMÉ,AGBEDZINOU K. EMMANUEL
060425,CMS LE ROCHER,HOPITAL DE DISTRICT,GRAND LOMÉ,"AGOE LOGOPE, à 200 m du Bar Epervier"
060426,CMS SACRE COEUR JUNIOR,USP type II,GRAND LOMÉ,"AMEGNINOU ATTIOGBE Assionghon Y. B. , Assistant Médical Boulevard de la Paix en face du Collège St Joseph"
060427,PHARMACIE MAGNIFICAT,PHARMACIE,GRAND LOMÉ,"Dr GUNN Kayissan Sika, Pharmacien Aflao Sagbado, 100m du Palais Royal du Chef de Yokoè"
060428,CLINIQUE DE TOTSI,CHU,GRAND LOMÉ,"TOTSI, entre bar 2N et ancienne phcie SATIS"
060429,"INFIRMERIE DE SOTOPLA (SOCIETE TOGOLAISE DES PLAQUES, VISITES ET CONTROLES TECHNIQUES)",USP type I,GRAND LOMÉ,"Dr Xavier ALLADO, DG Route d'Atakpamé"
060430,INFIRMERIE DE LA CNSS LOME (CAISSE NATIONALE DE SECURITE SOCIALE),USP type I,GRAND LOMÉ,"Mme Ingrid AWADE, DG Route d'Atakpamé"
060431,CABINET MEDICAL D'OPHTALMOLOGIE Dr BANLA,CHU,GRAND LOMÉ,"Pr BANLA, Professeur Agrégé d'Ophtalmologie AGBALEPEDEGAN non loin de la gare routière"
060432,CABINET MEDICAL CARDIO 24,CHU,GRAND LOMÉ,"Dr AGBODZIE ESINAM AMIVI, Médecin cardiologue 128, avenue du Calais, villa N°334, Hanoukopé"
